Name,Latitude,Longitude,Diameter
Abbe,-57.30,175.20,66.0
Abbot,5.60,54.80,10.0
Abel,-34.50,87.30,122.0
Abenezra,-21.00,11.90,42.0
Abetti,19.90,27.70,65.0
Abul Wáfa,1.00,116.60,55.0
Abulfeda,-13.80,13.90,65.0
Acosta,-5.60,60.10,13.0
Adams,-31.90,68.20,66.0
Agatharchides,-19.80,-30.90,48.0
Agrippa,4.10,10.50,44.0
Airy,-18.10,5.70,36.0
Aitken,-16.80,173.40,135.0
Akis,20.00,-31.80,2.0
Alan,-10.90,-6.10,2.0
Al-Bakri,14.30,20.20,12.0
Albategnius,-11.70,4.30,114.0
Al-Biruni,17.90,92.50,77.0
Alden,-23.60,110.80,104.0
Alder,-48.60,-177.40,77.0
Aldrin,1.40,22.10,3.0
Alekhin,-68.20,-131.30,70.0
Alexander,40.30,13.50,81.0
Alfraganus,-5.40,19.00,20.0
Alhazen,15.90,71.80,32.0
Aliacensis,-30.60,5.20,79.0
Al-Khwarizmi,7.10,106.40,65.0
Almanon,-16.80,15.20,49.0
Al-Marrakushi,-10.40,55.80,8.0
Aloha,29.80,-53.90,3.0
Alpetragius,-16.00,-4.50,39.0
Alphonsus,-13.70,-3.20,108.0
Alter,18.70,-107.50,64.0
Ameghino,3.30,57.00,9.0
Amici,-9.90,-172.10,54.0
Ammonius,-8.50,-0.80,8.0
Amontons,-5.30,46.80,2.0
Amundsen,-84.30,85.60,101.0
Anaxagoras,73.40,-10.10,50.0
Anaximander,66.90,-51.30,67.0
Anaximenes,72.50,-44.50,80.0
Andel,-10.40,12.40,35.0
Anders,-41.30,-142.90,40.0
Anderson,15.80,171.10,109.0
Andersson,-49.70,-95.30,13.0
Andronov,-22.70,146.10,16.0
Ango,20.50,-32.30,1.0
Angström,29.90,-41.60,9.0
Ann,25.10,-0.10,3.0
Annegrit,29.40,-25.60,1.0
Ansgarius,-12.70,79.70,94.0
Antoniadi,-69.70,-172.00,143.0
Anuchin,-49.00,101.30,57.0
Anville,1.90,49.50,10.0
Apianus,-26.90,7.90,63.0
Apollo,-36.10,-151.80,537.0
Apollonius,4.50,61.10,53.0
Appleton,37.20,158.30,63.0
Arago,6.20,21.40,26.0
Aratus,23.60,4.50,10.0
Archimedes,29.70,-4.00,82.0
Archytas,58.70,5.00,31.0
Argelander,-16.50,5.80,34.0
Ariadaeus,4.60,17.30,11.0
Aristarchus,23.70,-47.40,40.0
Aristillus,33.90,1.20,55.0
Aristoteles,50.20,17.40,87.0
Armínski,-16.40,154.20,26.0
Armstrong,1.40,25.00,4.0
Arnold,66.80,35.90,94.0
Arrhenius,-55.60,-91.30,40.0
Artamonov,25.50,103.50,60.0
Artem'ev,10.80,-144.40,67.0
Artemis,25.00,-25.40,2.0
Artsimovich,27.60,-36.60,8.0
Aryabhata,6.20,35.10,22.0
Arzachel,-18.20,-1.90,96.0
Asada,7.30,49.90,12.0
Asclepi,-55.10,25.40,42.0
Ashbrook,-81.40,-112.50,156.0
Aston,32.90,-87.70,43.0
Atlas,46.70,44.40,87.0
Atwood,-5.80,57.70,29.0
Autolycus,30.70,1.50,39.0
Auwers,15.10,17.20,20.0
